iter	Logloss
168	0.3444746192
169	0.3431049977
170	0.3419450361
171	0.3405904447
172	0.3397439862
173	0.338833729
174	0.3380216422
175	0.3374714528
176	0.336834536
177	0.3361175416
178	0.3358144989
179	0.3348429711
180	0.3339273176
181	0.3328705586
182	0.3317328229
183	0.3307123766
184	0.330144466
185	0.3291822808
186	0.3282474978
187	0.3276879213
188	0.3270818055
189	0.3261418205
190	0.3251479707
191	0.3244085837
192	0.3234518736
193	0.3227828687
194	0.3220764843
195	0.3210102826
196	0.3203204433
197	0.3196028939
198	0.3190318002
199	0.3178399152
200	0.3169697141
201	0.316043391
202	0.3150163099
203	0.3140090384
204	0.3134266875
205	0.3123759017
206	0.3114259211
207	0.3106134155
208	0.3099229563
209	0.3092406777
210	0.3085667658
211	0.3075192217
212	0.3066117473
213	0.3054883053
214	0.304711056
215	0.3040864142
216	0.3033321218
217	0.3027924412
218	0.3025426781
219	0.3019439205
220	0.3010329174
221	0.3002417252
222	0.2996705148
223	0.2987489421
224	0.297921388
225	0.2972087913
226	0.2967776434
227	0.2960644728
228	0.2954601456
229	0.2947709136
230	0.2941617381
231	0.2936433018
232	0.2930731063
233	0.2924055137
234	0.291689186
235	0.2908482914
236	0.2902083259
237	0.2896509172
238	0.2889467078
239	0.2879667207
240	0.2871954978
241	0.2864652391
242	0.2859745655
243	0.2851367527
244	0.2843714646
245	0.2837767707
246	0.2832938063
247	0.2825159855
248	0.2817930293
249	0.2812304903
250	0.2806537586
251	0.2801321238
252	0.2793236067
253	0.278692153
254	0.2781616043
255	0.2777362884
256	0.2770600072
257	0.2764624413
258	0.2757270571
259	0.2750884057
260	0.2744453191
261	0.2737722685
262	0.2733385561
263	0.2727017423
264	0.2719606988
265	0.2715180879
266	0.2710500624
267	0.270573349
268	0.2700584634
269	0.2693531035
270	0.2686878987
271	0.2683560265
272	0.2677378675
273	0.2674081055
274	0.2667465232
275	0.2660913268
276	0.2657291047
277	0.2655574437
278	0.2648381905
279	0.2642205196
280	0.2639077563
281	0.2634666928
282	0.2628417152
283	0.2624167963
284	0.2619228535
285	0.2613289976
286	0.2608863054
287	0.2604258486
288	0.260115796
289	0.2595342917
290	0.2590860205
291	0.2586966868
292	0.258234013
293	0.2575692388
294	0.2570594856
295	0.2565327786
296	0.2564338134
297	0.2558093931
298	0.2554604532
299	0.2551781725
300	0.2549381805
301	0.2545266499
302	0.2539801696
303	0.2533122869
304	0.2527840976
305	0.252269611
306	0.2518148629
307	0.2515092071
308	0.2511154911
309	0.25071715
310	0.2500171792
311	0.2494165908
312	0.2491237598
313	0.2486341584
314	0.2483369106
315	0.2482613233
316	0.2479483582
317	0.2474951039
318	0.2470176367
319	0.2462995478
320	0.2459605123
321	0.2455593684
322	0.2449050397
323	0.244398248
324	0.2438780624
325	0.2434464372
326	0.2428231614
327	0.2424935653
328	0.2420730177
329	0.2417836273
330	0.2414784829
331	0.240906975
332	0.2403235791
333	0.2398910756
334	0.2394937689
335	0.2391224408
336	0.2384293879
337	0.2380493696
338	0.2376672015
339	0.2370578265
340	0.2366439985
341	0.2364422462
342	0.2361154224
343	0.2356931831
344	0.2351443057
345	0.2348460003
346	0.2347741175
347	0.2342039411
348	0.2336607997
349	0.2334375986
350	0.233182838
351	0.2326336186
352	0.2322954289
353	0.2318905335
354	0.231730589
355	0.2313471162
356	0.2308806256
357	0.230371514
358	0.229855883
359	0.2294784551
360	0.2292507496
361	0.2287388848
362	0.2281869999
363	0.227927636
364	0.2278126516
365	0.2272870542
366	0.2268715307
367	0.2266303427
368	0.2259696286
369	0.2255479993
370	0.225056942
371	0.2247742475
372	0.224441368
373	0.2239863873
374	0.2236244419
375	0.2232411943
376	0.2229214396
377	0.2225411514
378	0.2220563268
379	0.221620453
380	0.221362688
381	0.2210715673
382	0.2206399043
383	0.220529499
384	0.2200692468
385	0.2198425857
386	0.2195466912
387	0.2192819816
388	0.2187143845
389	0.2183988253
390	0.2181506461
391	0.2178752469
392	0.2174245438
393	0.2171160875
394	0.2168236014
395	0.2163884036
396	0.2160743993
397	0.21560205
398	0.215203521
399	0.2149263064
400	0.2142636469
401	0.2138804622
402	0.2135340655
403	0.2131399696
404	0.2127287825
405	0.2123666331
406	0.211994427
407	0.211668393
408	0.2113415928
409	0.2108653467
410	0.210614169
411	0.210336152
412	0.2100732761
413	0.2099983272
414	0.2099004654
415	0.2094975099
416	0.2092378304
417	0.2089673156
418	0.2085423991
419	0.2084604179
420	0.208201727
421	0.2078654991
422	0.2074879477
423	0.2071884192
424	0.2067770399
425	0.2065712738
426	0.2063582513
427	0.2059202307
428	0.2055304933
429	0.2054370339
430	0.2049711034
431	0.2046121849
432	0.2043086443
433	0.2039628838
434	0.2035856935
435	0.2033879112
436	0.2033154283
437	0.2029639521
438	0.2026859023
439	0.2023241482
440	0.2020738228
441	0.2017336668
442	0.2015420893
443	0.2013378729
444	0.2011437639
445	0.2007330547
446	0.20044097
447	0.2000731221
448	0.1999429563
449	0.1994799029
450	0.1991151598
451	0.1987907818
452	0.1987595615
453	0.1985014187
454	0.1981374091
455	0.1977902988
456	0.1974834396
457	0.1972049735
458	0.1969218231
459	0.1966357246
460	0.1963742145
461	0.1961157309
462	0.1957894788
463	0.1953662102
464	0.1950682857
465	0.1948029242
466	0.1945169411
467	0.194164825
468	0.193931499
469	0.193702654
470	0.193304017
471	0.1929826261
472	0.1926162855
473	0.1922935529
474	0.1921163304
475	0.1917967206
476	0.1915787817
477	0.1912076942
478	0.1909898586
479	0.1905736922
480	0.1903447748
481	0.1900208181
482	0.1896602055
483	0.1893836527
484	0.1889798336
485	0.1887347366
486	0.1884206153
487	0.1881024241
488	0.1876908576
489	0.1872958218
490	0.1868967959
491	0.1866575274
492	0.186390556
493	0.1860794943
494	0.1857985615
495	0.1854314967
496	0.1850297003
497	0.1849184461
498	0.184590945
499	0.1842601411
500	0.1839032737
501	0.1836802584
502	0.1832859143
503	0.1830246883
504	0.1827434341
505	0.1825337667
506	0.1823968965
507	0.1822015189
508	0.1818967601
509	0.1815987774
510	0.1813514491
511	0.1812613951
512	0.1809072133
513	0.1805749038
514	0.1802070006
515	0.1798292186
516	0.179660702
517	0.1794899262
518	0.1792487426
519	0.178970951
520	0.1786461823
521	0.1782934504
522	0.1779499478
523	0.177479677
524	0.1771375669
525	0.1767097588
526	0.1765112244
527	0.176184031
528	0.1759174259
529	0.1755580689
530	0.1751879487
531	0.1748625874
532	0.1744580746
533	0.17419682
534	0.1738341685
535	0.1735806339
536	0.1732066674
537	0.1729239587
538	0.1727283907
539	0.1725323326
540	0.172319596
541	0.1721370268
542	0.1719155598
543	0.1717423591
544	0.1715881546
545	0.1713780807
546	0.1710334228
547	0.1707491312
548	0.1704017848
549	0.1701352805
550	0.1696824214
551	0.1694474865
552	0.1693030723
553	0.1691186094
554	0.1687286983
555	0.1685565005
556	0.1682740206
557	0.1679275981
558	0.1676115432
559	0.1673046953
560	0.1670102567
561	0.1666622937
562	0.1665480584
563	0.16630486
564	0.1661175619
565	0.1658505605
566	0.1657615762
567	0.1656760993
568	0.165438302
569	0.1651716204
570	0.1650209811
571	0.1649215674
572	0.1647256297
573	0.1645111047
574	0.1642250956
575	0.163911806
576	0.1636664934
577	0.1634114338
578	0.1631955466
579	0.1628693192
580	0.1626991299
581	0.1624540142
582	0.1623164271
583	0.1620693133
584	0.1618968521
585	0.1615705327
586	0.1613119499
587	0.1611200534
588	0.1608682295
589	0.1607529152
590	0.1606696556
591	0.1604061401
592	0.1601467701
593	0.1600274936
594	0.1598029646
595	0.1595808366
596	0.1594033864
597	0.1592585724
598	0.1589956977
599	0.1587283797
600	0.1586433094
601	0.1582553855
602	0.1580931108
603	0.1579065513
604	0.1577267918
605	0.1574027535
606	0.1571869124
607	0.1569911881
608	0.15675735
609	0.156479087
610	0.1562727743
611	0.1560252075
612	0.1558062475
613	0.1557067243
614	0.1555915542
615	0.1552979993
616	0.1550929057
617	0.1548289198
618	0.1545657554
619	0.1542582752
620	0.154034131
621	0.1538290232
622	0.1537667563
623	0.1535845588
624	0.1532925453
625	0.1531582607
626	0.1529118361
627	0.1526098339
628	0.1525525319
629	0.1523511366
630	0.1520803243
631	0.1519275334
632	0.1517936695
633	0.1516979061
634	0.1513422669
635	0.1511919829
636	0.1510415759
637	0.1507468654
638	0.1505691191
639	0.1502992514
640	0.1501836891
641	0.1500618191
642	0.1499380523
643	0.1497527729
644	0.1495467712
645	0.1493498917
646	0.1491139642
647	0.148894727
648	0.1487847215
649	0.1485173234
650	0.1483710189
651	0.1482416849
652	0.1481308944
653	0.1478155621
654	0.1476886478
655	0.1475657629
656	0.1473873775
657	0.1472340552
658	0.1470761
659	0.146936143
660	0.1466219579
661	0.1464311792
662	0.1461487046
663	0.1458692364
664	0.1455227246
665	0.1453889031
666	0.1451634306
667	0.1449881485
668	0.1447446221
669	0.1445971258
670	0.1444330748
671	0.1442434696
672	0.1440755538
673	0.1439483779
674	0.1439303009
675	0.1436644702
676	0.1434482993
677	0.1432308926
678	0.1429571821
679	0.1426962139
680	0.1424884205
681	0.1423661905
682	0.1422130707
683	0.1420782594
684	0.1418421489
685	0.1416930698
686	0.1416215426
687	0.1414270834
688	0.1412295452
689	0.141038886
690	0.1409154682
691	0.1406915037
692	0.1404607942
693	0.1403277353
694	0.1401449054
695	0.139893671
696	0.1397469588
697	0.1395841701
698	0.1394158268
699	0.1392326102
700	0.1390282578
701	0.1388432111
702	0.1387123479
703	0.1385106761
704	0.1383382345
705	0.1382280159
706	0.1380284944
707	0.1378202816
708	0.1376947665
709	0.1375994248
710	0.1373135776
711	0.1371763879
712	0.1369609607
713	0.1368281963
714	0.1365497822
715	0.1363333944
716	0.1360807017
717	0.1359120157
718	0.1357097184
719	0.1355955227
720	0.1354187244
721	0.1351903612
722	0.1350406703
723	0.1348366999
724	0.134739572
725	0.1345437041
726	0.1343000362
727	0.1341969465
728	0.1339727887
729	0.1337865836
730	0.1336042425
731	0.133495185
732	0.1332859086
733	0.133195809
734	0.1330194956
735	0.1329084211
736	0.132702907
737	0.1325387747
738	0.1324699296
739	0.1321646714
740	0.1320763364
741	0.1318472111
742	0.131696834
743	0.1315172332
744	0.1312539759
745	0.1310544673
746	0.1309074425
747	0.1307580988
748	0.1305329966
749	0.1304607555
750	0.1302818352
751	0.1300408682
752	0.1298631496
753	0.1297613725
754	0.129565078
755	0.1293406798
756	0.1292534799
757	0.1291295382
758	0.1289349841
759	0.1287374963
760	0.1285186866
761	0.1283437907
762	0.1281885445
763	0.1281431961
764	0.1279121976
765	0.1277753693
766	0.1275701496
767	0.1274557287
768	0.1272615368
769	0.1271268833
770	0.1269518385
771	0.1266865522
772	0.1264836071
773	0.1264082669
774	0.1262544494
775	0.12613724
776	0.125962772
777	0.1257831643
778	0.1256957914
779	0.1256195135
780	0.1254895898
781	0.1253683784
782	0.1251792944
783	0.1250939434
784	0.125004304
785	0.1248319075
786	0.1247057217
787	0.1245137785
788	0.1242660879
789	0.124168531
790	0.1240703735
791	0.1238929695
792	0.1237103997
793	0.1236104404
794	0.123456694
795	0.1232484376
796	0.1231274199
797	0.1228971155
798	0.1227351267
799	0.1226559151
800	0.1224822784
801	0.1223458721
802	0.1221985591
803	0.1220216353
804	0.1218986292
805	0.1216687534
806	0.1216012046
807	0.1213890315
808	0.1212659411
809	0.1212485291
810	0.121166098
811	0.1209461688
812	0.1207998603
813	0.1206124164
814	0.1204426073
815	0.1203497758
816	0.1202529993
817	0.1201005157
818	0.12003019
819	0.1198994043
820	0.1196963683
821	0.1196591496
822	0.1194431859
823	0.1192580122
824	0.1190905544
825	0.1188993014
826	0.1187156064
827	0.1185384431
828	0.1183611776
829	0.1182188351
830	0.1181375366
831	0.117993721
832	0.117811229
833	0.1176021581
834	0.1174651497
835	0.117365195
836	0.1172569124
837	0.1171076204
838	0.1169007774
839	0.11674581
840	0.1165571768
841	0.1164135796
842	0.1162421896
843	0.1160717584
844	0.1160628966
845	0.1159021247
846	0.1158138793
847	0.1157086103
848	0.1155937027
849	0.1154285415
850	0.1152529115
851	0.1150198053
852	0.1149610017
853	0.1148473967
854	0.1147239986
855	0.1145367261
856	0.1144129812
857	0.1142664569
858	0.1140756737
859	0.1139194708
860	0.113896599
861	0.1136464152
862	0.113528524
863	0.1133792362
864	0.1131859792
865	0.1130801936
866	0.1130038521
867	0.1128523709
868	0.1127339698
869	0.1126875684
870	0.1125221419
871	0.1124513776
872	0.112385571
873	0.1122525975
874	0.1121768943
875	0.1120176143
876	0.1119048264
877	0.1117921624
878	0.1117246035
879	0.1116487247
880	0.1115330624
881	0.1114048093
882	0.1112669196
883	0.1111183794
884	0.1108835953
885	0.1106543669
886	0.1105708071
887	0.1104289792
888	0.1102768596
889	0.1101336708
890	0.1099869561
891	0.1099180805
892	0.1097459708
893	0.1095637257
894	0.109460119
895	0.1093419733
896	0.1092585487
897	0.1091772049
898	0.1090864742
899	0.1090185542
900	0.1089954963
901	0.1088395705
902	0.1087138652
903	0.1086057099
904	0.1084474819
905	0.1083166969
906	0.1082388849
907	0.1080677506
908	0.1078752185
909	0.1077290729
910	0.1076040738
911	0.1074803643
912	0.1073344861
913	0.1071467254
914	0.1069988879
915	0.1067376789
916	0.1066645939
917	0.1065415482
918	0.1064787321
919	0.1063393827
920	0.1061871084
921	0.1060427563
922	0.1059105609
923	0.1057801012
924	0.1056380844
925	0.1054466183
926	0.1052874656
927	0.1052800417
928	0.1051063237
929	0.104924666
930	0.1048366826
931	0.104610369
932	0.1044865734
933	0.1043397037
934	0.1042295288
935	0.104071444
936	0.1039021513
937	0.1038035981
938	0.103601341
939	0.103496903
940	0.1033214499
941	0.1032675935
942	0.1031451236
943	0.10306945
944	0.102961174
945	0.102856776
946	0.1027715335
947	0.1027265336
948	0.102574811
949	0.1024320523
950	0.1022764092
951	0.1021283237
952	0.1019281901
953	0.1018320799
954	0.1016519603
955	0.1015774953
956	0.1013652712
957	0.1011355454
958	0.100992051
959	0.1008382846
960	0.1006887858
961	0.1005953222
962	0.1004413408
963	0.1003295539
964	0.1002235505
965	0.1001419283
966	0.1000072088
967	0.09988090939
968	0.09974796285
969	0.09963093962
970	0.09954088097
971	0.09943710312
972	0.09931008033
973	0.09919650673
974	0.09903826153
975	0.09899190692
976	0.09886041915
977	0.09873172854
978	0.09865532871
979	0.09848932034
980	0.09834950546
981	0.09822968962
982	0.09810332675
983	0.09797646021
984	0.09784815402
985	0.09771638786
986	0.09761940618
987	0.09755791004
988	0.09742060619
989	0.09727245195
990	0.0970690126
991	0.0970366933
992	0.09694889639
993	0.09686678685
994	0.09670592408
995	0.0965590346
996	0.09644699812
997	0.09630007267
998	0.09622208631
999	0.0961031372
