iter	Passed	Remaining
466	753	860
467	755	858
468	756	856
469	758	854
470	759	853
471	760	851
472	762	849
473	764	847
474	767	848
475	768	846
476	770	844
477	775	846
478	777	845
479	779	844
480	781	843
481	783	841
482	784	839
483	786	837
484	787	836
485	788	834
486	790	832
487	791	830
488	793	828
489	794	827
490	796	825
491	797	823
492	799	821
493	801	820
494	802	819
495	804	817
496	806	815
497	807	814
498	809	812
499	810	810
500	814	811
501	816	810
502	817	808
503	819	806
504	820	804
505	822	802
506	823	800
507	825	799
508	826	797
509	828	795
510	829	793
511	830	791
512	832	789
513	833	788
514	834	786
515	836	784
516	838	782
517	839	780
518	840	778
519	841	776
520	843	775
521	844	773
522	845	771
523	847	769
524	848	767
525	849	765
526	851	764
527	852	762
528	853	760
529	854	758
530	856	756
531	857	754
532	858	752
533	859	750
534	860	748
535	861	745
536	862	743
537	864	742
538	865	740
539	867	738
540	868	736
541	869	734
542	871	733
543	872	731
544	873	729
545	875	727
546	876	726
547	878	724
548	880	723
549	882	721
550	883	720
551	885	718
552	886	716
553	888	715
554	889	713
555	891	712
556	893	710
557	895	709
558	896	707
559	897	705
560	898	703
561	899	701
562	901	699
563	902	697
564	904	696
565	905	694
566	907	692
567	908	691
568	910	689
569	911	687
570	913	686
571	914	684
572	916	682
573	918	681
574	920	680
575	921	678
576	922	676
577	924	674
578	925	673
579	928	672
580	929	670
581	933	670
582	934	668
583	936	666
584	937	665
585	939	663
586	940	661
587	942	660
588	943	658
589	944	656
590	946	654
591	947	653
592	948	651
593	950	649
594	951	647
595	953	646
596	954	644
597	955	642
598	957	640
599	958	639
600	959	637
601	960	635
602	962	633
603	963	631
604	965	630
605	966	628
606	967	626
607	969	624
608	971	623
609	972	621
610	973	620
611	975	618
612	976	616
613	977	614
614	979	613
615	981	611
616	982	609
617	987	610
618	988	608
619	990	606
620	991	605
621	993	603
622	994	601
623	995	599
624	997	598
625	999	596
626	1000	595
627	1001	593
628	1002	591
629	1004	590
630	1006	588
631	1007	586
632	1009	585
633	1010	583
634	1012	581
635	1013	580
636	1015	578
637	1016	576
638	1017	575
639	1019	573
640	1020	571
641	1022	570
642	1024	568
643	1026	567
644	1027	565
645	1030	564
646	1032	563
647	1034	561
648	1036	560
649	1037	558
650	1039	557
651	1040	555
652	1041	553
653	1042	551
654	1044	549
655	1045	548
656	1047	546
657	1048	545
658	1050	543
659	1051	541
660	1052	539
661	1054	538
662	1055	536
663	1056	534
664	1058	533
665	1059	531
666	1061	530
667	1062	528
668	1064	526
669	1065	524
670	1067	523
671	1068	521
672	1069	519
673	1070	517
674	1071	515
675	1072	514
676	1074	512
677	1076	511
678	1077	509
679	1078	507
680	1079	505
681	1081	504
682	1082	502
683	1083	500
684	1084	498
685	1086	497
686	1087	495
687	1089	493
688	1090	492
689	1091	490
690	1092	488
691	1094	486
692	1095	485
693	1096	483
694	1097	481
695	1099	480
696	1100	478
697	1101	476
698	1103	475
699	1104	473
700	1105	471
701	1107	469
702	1108	468
703	1109	466
704	1110	464
705	1111	463
706	1113	461
707	1114	459
708	1115	457
709	1116	456
710	1118	454
711	1119	452
712	1120	451
713	1122	449
714	1123	447
715	1124	446
716	1126	444
717	1127	442
718	1128	441
719	1129	439
720	1131	437
721	1132	435
722	1133	434
723	1135	432
724	1136	431
725	1138	429
726	1139	428
727	1141	426
728	1143	425
729	1144	423
730	1146	421
731	1147	420
732	1149	418
733	1150	416
734	1152	415
735	1153	413
736	1154	412
737	1156	410
738	1157	408
739	1158	407
740	1160	405
741	1162	404
742	1163	402
743	1165	401
744	1167	399
745	1173	399
746	1174	397
747	1176	396
748	1177	394
749	1179	393
750	1182	391
751	1183	390
752	1185	388
753	1187	387
754	1188	385
755	1190	384
756	1192	382
757	1194	381
758	1196	379
759	1198	378
760	1199	376
761	1200	375
762	1202	373
763	1205	372
764	1207	370
765	1208	369
766	1211	368
767	1213	366
768	1214	364
769	1216	363
770	1217	361
771	1219	360
772	1221	358
773	1222	356
774	1224	355
775	1225	353
776	1227	352
777	1228	350
778	1230	349
779	1232	347
780	1234	346
781	1235	344
782	1237	342
783	1238	341
784	1240	339
785	1241	338
786	1243	336
787	1245	335
788	1247	333
789	1249	332
790	1250	330
791	1251	328
792	1253	327
793	1254	325
794	1256	323
795	1258	322
796	1260	321
797	1262	319
798	1264	318
799	1266	316
800	1267	314
801	1269	313
802	1271	311
803	1272	310
804	1274	308
805	1275	307
806	1277	305
807	1278	303
808	1280	302
809	1281	300
810	1282	298
811	1291	299
812	1293	297
813	1294	295
814	1296	294
815	1298	292
816	1300	291
817	1301	289
818	1303	288
819	1304	286
820	1306	284
821	1307	283
822	1309	281
823	1311	280
824	1312	278
825	1313	276
826	1315	275
827	1316	273
828	1317	271
829	1319	270
830	1320	268
831	1322	267
832	1324	265
833	1325	263
834	1327	262
835	1328	260
836	1330	259
837	1331	257
838	1332	255
839	1334	254
840	1336	252
841	1337	250
842	1338	249
843	1340	247
844	1341	246
845	1342	244
846	1343	242
847	1345	241
848	1347	239
849	1348	238
850	1350	236
851	1351	234
852	1353	233
853	1354	231
854	1355	229
855	1356	228
856	1357	226
857	1358	224
858	1360	223
859	1361	221
860	1362	220
861	1364	218
862	1365	216
863	1366	215
864	1367	213
865	1368	211
866	1369	210
867	1371	208
868	1372	206
869	1373	205
870	1375	203
871	1376	202
872	1377	200
873	1378	198
874	1380	197
875	1381	195
876	1382	193
877	1384	192
878	1385	190
879	1387	189
880	1388	187
881	1390	185
882	1391	184
883	1392	182
884	1394	181
885	1395	179
886	1396	177
887	1397	176
888	1399	174
889	1401	173
890	1402	171
891	1404	169
892	1405	168
893	1406	166
894	1407	165
895	1408	163
896	1410	161
897	1411	160
898	1412	158
899	1413	157
900	1414	155
901	1415	153
902	1416	152
903	1417	150
904	1419	148
905	1420	147
906	1421	145
907	1422	144
908	1423	142
909	1425	140
910	1426	139
911	1427	137
912	1428	136
913	1430	134
914	1431	132
915	1432	131
916	1434	129
917	1435	128
918	1436	126
919	1437	125
920	1439	123
921	1441	121
922	1442	120
923	1443	118
924	1445	117
925	1446	115
926	1448	114
927	1448	112
928	1449	110
929	1451	109
930	1453	107
931	1454	106
932	1456	104
933	1457	103
934	1459	101
935	1460	99
936	1461	98
937	1463	96
938	1464	95
939	1466	93
940	1467	92
941	1468	90
942	1470	88
943	1471	87
944	1472	85
945	1474	84
946	1475	82
947	1476	81
948	1478	79
949	1479	77
950	1480	76
951	1481	74
952	1482	73
953	1484	71
954	1485	69
955	1486	68
956	1487	66
957	1488	65
958	1490	63
959	1491	62
960	1492	60
961	1494	59
962	1495	57
963	1496	55
964	1498	54
965	1499	52
966	1500	51
967	1501	49
968	1503	48
969	1504	46
970	1505	44
971	1507	43
972	1508	41
973	1509	40
974	1511	38
975	1512	37
976	1513	35
977	1514	34
978	1515	32
979	1516	30
980	1517	29
981	1519	27
982	1520	26
983	1521	24
984	1523	23
985	1524	21
986	1525	20
987	1526	18
988	1527	16
989	1529	15
990	1530	13
991	1531	12
992	1532	10
993	1534	9
994	1535	7
995	1536	6
996	1537	4
997	1538	3
998	1539	1
999	1540	0
